"Facility Satisfaction","Curriculum Quality","Teaching Learning","Campus Services","Student Support","Digital Readiness","Wellbeing","Overall Satisfaction","Sector","Gender"
65,67.2727272727273,NA,60,60,70,60,65,"Public","Male"
61.6666666666667,89.0909090909091,NA,NA,60,20,80,70.3225806451613,"Public","Male"
83.3333333333333,90.9090909090909,NA,NA,55,60,80,80.625,"Public","Female"
78.3333333333333,85.4545454545455,NA,NA,60,80,80,78,"Public","Female"
80,87.2727272727273,NA,NA,65,50,80,78.75,"Public","Female"
68.3333333333333,61.8181818181818,NA,NA,60,20,60,64,"Public","Female"
60,61.8181818181818,NA,NA,60,NA,60,60.6896551724138,"Public","Female"
80,80,NA,NA,64,20,60,75,"Public","Female"
46.6666666666667,63.6363636363636,NA,NA,75,30,60,54.8387096774194,"Public","Female"
40,30.9090909090909,NA,NA,70,20,80,41.3793103448276,"Public","Male"
80,80,NA,NA,50,100,80,78.5714285714286,"Public","Female"
80,72.7272727272727,NA,60,70,40,80,72.9032258064516,"Public","Female"
53.3333333333333,56.3636363636364,NA,NA,60,40,60,53.75,"Public","Female"
58.3333333333333,49.0909090909091,NA,NA,48,40,60,52.258064516129,"Public","Female"
58.3333333333333,54.5454545454545,NA,NA,66.6666666666667,30,80,56.551724137931,"Public","Female"
85,96.3636363636364,NA,NA,60,20,80,84,"Public","Female"
75,69.0909090909091,NA,NA,64,60,60,70.3030303030303,"Public","Female"
46.6666666666667,40,NA,60,72,80,20,50,"Public","Male"
80,85.4545454545455,NA,60,60,50,100,78.125,"Public","Female"
63.3333333333333,72.7272727272727,NA,60,60,20,80,66.4516129032258,"Public","Female"
48.3333333333333,61.8181818181818,NA,60,60,20,20,50.6666666666667,"Public","Female"
31.6666666666667,34.5454545454545,NA,NA,64,50,60,40.625,"Public","Male"
36.6666666666667,61.8181818181818,NA,NA,56,20,60,48.3870967741936,"Public","Male"
35,49.0909090909091,NA,NA,70,33.3333333333333,60,45,"Public","Male"
51.6666666666667,60,NA,60,40,40,60,55,"Public","Female"
56.6666666666667,56.3636363636364,NA,NA,60,30,80,54.8387096774194,"Public","Female"
46.6666666666667,27.2727272727273,NA,NA,65,46.6666666666667,60,41.875,"Public","Female"
85,80,NA,NA,50,80,80,77.3333333333333,"Public","Female"
66.6666666666667,76.3636363636364,40,60,53.3333333333333,50,80,68.125,"Public","Female"
71.6666666666667,80,NA,NA,50,70,80,72.9032258064516,"Public","Female"
80,80,NA,NA,73.3333333333333,NA,80,78.5714285714286,"Public","Female"
76.6666666666667,76.3636363636364,NA,NA,66.6666666666667,40,100,75,"Public","Male"
80,67.2727272727273,NA,60,72,80,80,71.875,"Public","Male"
85,80,NA,NA,40,NA,60,76.4285714285714,"Public","Female"
96.6666666666667,98.1818181818182,NA,NA,60,60,80,87.0967741935484,"Public","Male"
66.6666666666667,78.1818181818182,NA,NA,53.3333333333333,40,80,67.3333333333333,"Public","Female"
70,70.9090909090909,NA,60,65,50,80,68.3870967741936,"Public","Female"
65,65.4545454545455,NA,NA,60,40,60,62.5806451612903,"Public","Female"
56.6666666666667,50.9090909090909,NA,NA,73.3333333333333,40,40,55.3333333333333,"Public","Female"
55,60,NA,NA,50,40,60,56.7741935483871,"Public","Female"
45,60,NA,60,53.3333333333333,50,80,54.375,"Public","Female"
60,69.0909090909091,NA,NA,60,20,80,63.8709677419355,"Public","Female"
68.3333333333333,63.6363636363636,NA,NA,50,60,60,63.8709677419355,"Public","Female"
60,60,20,NA,60,NA,80,60.6666666666667,"Public","Female"
31.6666666666667,34.5454545454545,NA,NA,60,50,60,39.3548387096774,"Public","Female"
55,56.3636363636364,NA,NA,60,40,60,54.1935483870968,"Public","Male"
58.3333333333333,61.8181818181818,NA,NA,53.3333333333333,50,80,60.6666666666667,"Public","Female"
93.3333333333333,54.5454545454545,NA,60,65,60,100,72.9032258064516,"Public","Male"
91.6666666666667,72.7272727272727,NA,NA,73.3333333333333,20,100,78.6666666666667,"Public","Female"
76.6666666666667,81.8181818181818,NA,60,85,40,60,78.0645161290323,"Public","Female"
60,65.4545454545455,NA,NA,20,33.3333333333333,60,56.7741935483871,"Public","Female"
33.3333333333333,60,NA,NA,40,60,40,46,"Public","Female"
90,83.6363636363636,NA,NA,50,70,80,80,"Public","Female"
45,41.8181818181818,NA,NA,45,NA,60,44.2857142857143,"Public","Female"
68.3333333333333,70.9090909090909,NA,NA,64,NA,60,68.3870967741936,"Public","Female"
61.6666666666667,54.5454545454545,NA,NA,65,50,80,60.625,"Public","Female"
53.3333333333333,60,NA,NA,66.6666666666667,40,80,58,"Public","Female"
56.6666666666667,60,NA,60,70,50,80,59.375,"Public","Female"
81.6666666666667,72.7272727272727,NA,NA,60,50,80,72.5,"Public","Female"
26.6666666666667,100,NA,60,60,40,60,60.6896551724138,"Public","Female"
60,54.5454545454545,NA,60,60,NA,80,57.3333333333333,"Public","Female"
36.6666666666667,50.9090909090909,40,60,60,NA,40,46.6666666666667,"Public","Female"
68.3333333333333,56.3636363636364,NA,60,70,80,80,65,"Public","Female"
48.3333333333333,36.3636363636364,NA,60,53.3333333333333,50,40,45.1612903225806,"Public","Male"
100,90.9090909090909,NA,NA,60,60,80,87.0967741935484,"Public","Female"
75,56.3636363636364,NA,60,60,40,60,63.2258064516129,"Private","Female"
80,80,NA,NA,55,80,80,75.3333333333333,"Public","Female"
51.6666666666667,65.4545454545455,20,60,50,20,60,54.375,"Public","Male"
75,76.3636363636364,NA,NA,65,NA,80,73.7931034482759,"Public","Female"
60,49.0909090909091,NA,NA,55,30,60,52.9032258064516,"Public","Male"
51.6666666666667,52.7272727272727,NA,NA,50,33.3333333333333,80,51.25,"Public","Female"
80,74.5454545454545,NA,NA,48,40,60,69.6969696969697,"Public","Female"
85,65.4545454545455,NA,60,55,100,60,71.25,"Private","Male"
21.6666666666667,20,NA,NA,60,70,60,29.6774193548387,"Private","Male"
76.6666666666667,72.7272727272727,NA,NA,66.6666666666667,40,100,72.6666666666667,"Private","Male"
65,67.2727272727273,NA,NA,60,40,80,64.1379310344828,"Public","Female"
75,61.8181818181818,NA,NA,48,50,60,65,"Public","Female"
30,32.7272727272727,NA,NA,60,60,80,38.6666666666667,"Public","Male"
53.3333333333333,49.0909090909091,40,60,65,70,60,54.1176470588235,"Public","Female"
56.6666666666667,81.8181818181818,NA,NA,50,40,80,63.8709677419355,"Public","Male"
80,80,NA,60,53.3333333333333,40,80,74.8387096774193,"Public","Female"
63.3333333333333,58.1818181818182,NA,60,55,33.3333333333333,60,57.5757575757576,"Public","Male"
83.3333333333333,69.0909090909091,NA,NA,40,50,80,71.0344827586207,"Public","Female"
76.6666666666667,67.2727272727273,NA,NA,66.6666666666667,20,60,70,"Public","Female"
83.3333333333333,85.4545454545455,NA,NA,60,NA,80,81.4814814814815,"Public","Female"
68.3333333333333,65.4545454545455,NA,NA,20,40,80,62.7586206896552,"Private","Male"
90,87.2727272727273,NA,NA,60,NA,80,83.448275862069,"Private","Male"
61.6666666666667,45.4545454545455,NA,NA,55,20,40,52.4137931034483,"Private","Male"
75,58.1818181818182,NA,60,65,50,60,64.375,"Public","Female"
53.3333333333333,43.6363636363636,NA,NA,46.6666666666667,40,80,49.3333333333333,"Public","Male"
51.6666666666667,49.0909090909091,40,60,60,60,60,51.25,"Public","Female"
50,49.0909090909091,40,NA,50,60,80,52.258064516129,"Public","Female"
63.3333333333333,58.1818181818182,NA,NA,80,20,100,62.1428571428571,"Public","Female"
81.6666666666667,69.0909090909091,40,60,46.6666666666667,60,80,71.6129032258064,"Public","Female"
73.3333333333333,80,NA,NA,50,40,80,70,"Public","Female"
51.6666666666667,52.7272727272727,NA,NA,65,NA,100,55.8620689655172,"Public","Male"
55,81.8181818181818,NA,60,65,60,60,66.25,"Public","Female"
70,43.6363636363636,NA,60,70,40,60,59.375,"Private","Female"
66.6666666666667,61.8181818181818,NA,NA,60,50,60,62.5806451612903,"Public","Female"
75,80,NA,60,73.3333333333333,50,80,74.6666666666667,"Public","Female"
85,76.3636363636364,NA,60,60,60,60,76.7741935483871,"Public","Female"
43.3333333333333,40,40,NA,53.3333333333333,NA,40,44.8275862068965,"Public","Female"
86.6666666666667,74.5454545454545,NA,NA,53.3333333333333,80,60,76.551724137931,"Public","Female"
95,85.4545454545455,NA,NA,60,40,80,85.5172413793103,"Public","Male"
88.3333333333333,58.1818181818182,NA,NA,70,20,80,71.7241379310345,"Public","Male"
56.6666666666667,49.0909090909091,NA,60,55,70,60,53.75,"Public","Male"
75,85.4545454545455,NA,NA,60,20,80,75.1724137931035,"Public","Male"
25,20,NA,60,55,20,60,29.3333333333333,"Public","Female"
55,72.7272727272727,NA,60,60,53.3333333333333,80,62.4242424242424,"Public","Male"
25,27.2727272727273,NA,60,20,20,60,27.8571428571429,"Public","Male"
53.3333333333333,38.1818181818182,NA,60,40,30,60,46,"Public","Female"
51.6666666666667,56.3636363636364,40,NA,60,NA,60,54.4827586206897,"Public","Male"
53.3333333333333,83.6363636363636,NA,NA,68,53.3333333333333,80,67.0588235294118,"Public","Female"
25,36.3636363636364,NA,NA,35,20,60,34.8387096774194,"Public","Female"
76.6666666666667,74.5454545454545,NA,60,65,50,60,71.25,"Public","Female"
53.3333333333333,76.3636363636364,NA,NA,65,NA,60,63.448275862069,"Public","Male"
65,65.4545454545455,NA,NA,46.6666666666667,20,80,61.3793103448276,"Public","Female"
50,56.3636363636364,20,NA,50,NA,40,52.9032258064516,"Public","Female"
