"Scale","Item","Variable","N","Mean","SD","Item_Total_r","Alpha_if_dropped","Scale_Alpha","Flag"
"Canteen (Q4_1)","Classroom environment","q4_1_01_classroom_environment_num",1777,3.295,1.125,0.676,0.915,0.921,""
"Canteen (Q4_1)","Library resources","q4_1_02_library_resources_num",1777,3.503,1.138,0.677,0.915,0.921,""
"Canteen (Q4_1)","Laboratory facilities","q4_1_03_laboratory_facilities_num",1777,3.073,1.153,0.727,0.912,0.921,""
"Canteen (Q4_1)","Computer labs","q4_1_04_computer_labs_num",1777,3.183,1.2,0.72,0.913,0.921,""
"Canteen (Q4_1)","Internet wi fi","q4_1_05_internet_wi_fi_num",1777,2.867,1.256,0.611,0.917,0.921,""
"Canteen (Q4_1)","Multimedia facilities","q4_1_06_multimedia_facilities_num",1777,3.102,1.207,0.704,0.913,0.921,""
"Canteen (Q4_1)","Canteen hygiene","q4_1_07_canteen_hygiene_num",1777,2.993,1.189,0.675,0.915,0.921,""
"Canteen (Q4_1)","Canteen pricing","q4_1_08_canteen_pricing_num",1777,2.976,1.191,0.611,0.917,0.921,""
"Canteen (Q4_1)","Washrooms","q4_1_09_washrooms_num",1777,2.732,1.242,0.654,0.916,0.921,""
"Canteen (Q4_1)","Sports recreation","q4_1_10_sports_recreation_num",1777,3.024,1.176,0.69,0.914,0.921,""
"Canteen (Q4_1)","Transport","q4_1_11_transport_num",1777,3.186,1.207,0.646,0.916,0.921,""
"Canteen (Q4_1)","First aid medical","q4_1_12_first_aid_medical_num",1777,3.14,1.183,0.684,0.914,0.921,""
"Access (Q5_1)","Syllabus up to date","q5_1_01_syllabus_up_to_date_num",1777,3.309,1.066,0.698,0.942,0.945,""
"Access (Q5_1)","Practical knowledge","q5_1_02_practical_knowledge_num",1777,3.261,1.102,0.782,0.938,0.945,""
"Access (Q5_1)","Theory practical balance","q5_1_03_theory_practical_balance_num",1777,3.217,1.137,0.78,0.938,0.945,""
"Access (Q5_1)","Content coverable","q5_1_04_content_coverable_num",1777,3.268,1.139,0.761,0.939,0.945,""
"Access (Q5_1)","Workload manageable","q5_1_05_workload_manageable_num",1777,3.19,1.135,0.73,0.94,0.945,""
"Access (Q5_1)","Exam format fair","q5_1_06_exam_format_fair_num",1777,3.313,1.129,0.787,0.938,0.945,""
"Access (Q5_1)","Grading transparent","q5_1_07_grading_transparent_num",1777,3.263,1.127,0.772,0.939,0.945,""
"Access (Q5_1)","Internship access","q5_1_08_internship_access_num",1777,3.078,1.148,0.715,0.941,0.945,""
"Access (Q5_1)","Research access","q5_1_09_research_access_num",1777,3.201,1.123,0.761,0.939,0.945,""
"Access (Q5_1)","Comfortable seeking help","q5_1_10_comfortable_seeking_help_num",1777,3.414,1.131,0.781,0.938,0.945,""
"Access (Q5_1)","Teachers impartial","q5_1_11_teachers_impartial_num",1777,3.25,1.227,0.751,0.94,0.945,""
