"Access (Q5_1)","Overall Index","Canteen (Q4_1)","Sector","Gender"
67.2727272727273,65,65,"Public","Male"
89.0909090909091,70,61.6666666666667,"Public","Male"
90.9090909090909,80.625,83.3333333333333,"Public","Female"
85.4545454545455,78,78.3333333333333,"Public","Female"
87.2727272727273,78.1818181818182,80,"Public","Female"
61.8181818181818,63.75,68.3333333333333,"Public","Female"
61.8181818181818,60.6451612903226,60,"Public","Female"
80,74.5454545454545,80,"Public","Female"
63.6363636363636,54.8387096774194,46.6666666666667,"Public","Female"
30.9090909090909,41.3793103448276,40,"Public","Male"
80,78.5714285714286,80,"Public","Female"
72.7272727272727,72.5,80,"Public","Female"
56.3636363636364,53.75,53.3333333333333,"Public","Female"
49.0909090909091,52.5,58.3333333333333,"Public","Female"
54.5454545454545,56.6666666666667,58.3333333333333,"Public","Female"
96.3636363636364,83.2258064516129,85,"Public","Female"
69.0909090909091,70.3030303030303,75,"Public","Female"
40,50,46.6666666666667,"Public","Male"
85.4545454545455,78.125,80,"Public","Female"
72.7272727272727,66.0606060606061,63.3333333333333,"Public","Female"
61.8181818181818,50.9677419354839,48.3333333333333,"Public","Female"
34.5454545454545,40.625,31.6666666666667,"Public","Male"
61.8181818181818,48.3870967741936,36.6666666666667,"Public","Male"
49.0909090909091,45,35,"Public","Male"
60,55.1515151515152,51.6666666666667,"Public","Female"
56.3636363636364,54.8387096774194,56.6666666666667,"Public","Female"
27.2727272727273,41.875,46.6666666666667,"Public","Female"
80,77.3333333333333,85,"Public","Female"
76.3636363636364,67.8787878787879,66.6666666666667,"Public","Female"
80,72.9032258064516,71.6666666666667,"Public","Female"
80,77.3333333333333,80,"Public","Female"
76.3636363636364,75,76.6666666666667,"Public","Male"
67.2727272727273,71.875,80,"Public","Male"
80,75.3333333333333,85,"Public","Female"
98.1818181818182,86.25,96.6666666666667,"Public","Male"
78.1818181818182,67.0967741935484,66.6666666666667,"Public","Female"
70.9090909090909,68.3870967741936,70,"Public","Female"
65.4545454545455,62.4242424242424,65,"Public","Female"
50.9090909090909,55.625,56.6666666666667,"Public","Female"
60,56.7741935483871,55,"Public","Female"
60,54.5454545454545,45,"Public","Female"
69.0909090909091,63.75,60,"Public","Female"
63.6363636363636,63.75,68.3333333333333,"Public","Female"
60,60.625,60,"Public","Female"
34.5454545454545,39.3548387096774,31.6666666666667,"Public","Female"
56.3636363636364,54.1935483870968,55,"Public","Male"
61.8181818181818,60.6451612903226,58.3333333333333,"Public","Female"
54.5454545454545,72.9032258064516,93.3333333333333,"Public","Male"
72.7272727272727,78.0645161290323,91.6666666666667,"Public","Female"
81.8181818181818,78.0645161290323,76.6666666666667,"Public","Female"
65.4545454545455,56.7741935483871,60,"Public","Female"
60,46.875,33.3333333333333,"Public","Female"
83.6363636363636,80,90,"Public","Female"
41.8181818181818,44.8275862068965,45,"Public","Female"
70.9090909090909,68.125,68.3333333333333,"Public","Female"
54.5454545454545,60.625,61.6666666666667,"Public","Female"
60,58.0645161290323,53.3333333333333,"Public","Female"
60,59.375,56.6666666666667,"Public","Female"
72.7272727272727,72.5,81.6666666666667,"Public","Female"
100,60.6451612903226,26.6666666666667,"Public","Female"
54.5454545454545,57.5,60,"Public","Female"
50.9090909090909,47.5,36.6666666666667,"Public","Female"
56.3636363636364,65,68.3333333333333,"Public","Female"
36.3636363636364,46.0606060606061,48.3333333333333,"Public","Male"
90.9090909090909,85.4545454545455,100,"Public","Female"
56.3636363636364,63.125,75,"Private","Female"
80,75.3333333333333,80,"Public","Female"
65.4545454545455,54.375,51.6666666666667,"Public","Male"
76.3636363636364,73.3333333333333,75,"Public","Female"
49.0909090909091,52.9032258064516,60,"Public","Male"
52.7272727272727,51.5151515151515,51.6666666666667,"Public","Female"
74.5454545454545,69.4117647058823,80,"Public","Female"
65.4545454545455,70.9090909090909,85,"Private","Male"
20,30.625,21.6666666666667,"Private","Male"
72.7272727272727,72.258064516129,76.6666666666667,"Private","Male"
67.2727272727273,63.8709677419355,65,"Public","Female"
61.8181818181818,65,75,"Public","Female"
32.7272727272727,38.6666666666667,30,"Public","Male"
49.0909090909091,54.1176470588235,53.3333333333333,"Public","Female"
81.8181818181818,63.75,56.6666666666667,"Public","Male"
80,73.9393939393939,80,"Public","Female"
58.1818181818182,57.6470588235294,63.3333333333333,"Public","Male"
69.0909090909091,71.0344827586207,83.3333333333333,"Public","Female"
67.2727272727273,69.6774193548387,76.6666666666667,"Public","Female"
85.4545454545455,80,83.3333333333333,"Public","Female"
65.4545454545455,62.6666666666667,68.3333333333333,"Private","Male"
87.2727272727273,82.6666666666667,90,"Private","Male"
45.4545454545455,52.4137931034483,61.6666666666667,"Private","Male"
58.1818181818182,64.375,75,"Public","Female"
43.6363636363636,49.6774193548387,53.3333333333333,"Public","Male"
49.0909090909091,51.5151515151515,51.6666666666667,"Public","Female"
49.0909090909091,52.5,50,"Public","Female"
58.1818181818182,62.0689655172414,63.3333333333333,"Public","Female"
69.0909090909091,70.9090909090909,81.6666666666667,"Public","Female"
80,69.6969696969697,73.3333333333333,"Public","Female"
52.7272727272727,56,51.6666666666667,"Public","Male"
81.8181818181818,66.0606060606061,55,"Public","Female"
43.6363636363636,59.3939393939394,70,"Private","Female"
61.8181818181818,62.5,66.6666666666667,"Public","Female"
80,74.1935483870968,75,"Public","Female"
76.3636363636364,76.25,85,"Public","Female"
40,45.8064516129032,43.3333333333333,"Public","Female"
74.5454545454545,76.551724137931,86.6666666666667,"Public","Female"
85.4545454545455,85.5172413793103,95,"Public","Male"
58.1818181818182,71.7241379310345,88.3333333333333,"Public","Male"
49.0909090909091,53.75,56.6666666666667,"Public","Male"
85.4545454545455,74.6666666666667,75,"Public","Male"
20,29.3333333333333,25,"Public","Female"
72.7272727272727,62.3529411764706,55,"Public","Male"
27.2727272727273,27.8571428571429,25,"Public","Male"
38.1818181818182,46.4516129032258,53.3333333333333,"Public","Female"
56.3636363636364,54.8387096774194,51.6666666666667,"Public","Male"
83.6363636363636,67.0588235294118,53.3333333333333,"Public","Female"
36.3636363636364,35.625,25,"Public","Female"
74.5454545454545,71.25,76.6666666666667,"Public","Female"
76.3636363636364,63.3333333333333,53.3333333333333,"Public","Male"
65.4545454545455,61.2903225806452,65,"Public","Female"
56.3636363636364,53.125,50,"Public","Female"
61.8181818181818,58.125,56.6666666666667,"Public","Female"
69.0909090909091,56.969696969697,53.3333333333333,"Public","Female"
56.3636363636364,59.375,61.6666666666667,"Public","Male"
45.4545454545455,51.25,58.3333333333333,"Public","Male"
61.8181818181818,59.3939393939394,65,"Public","Female"
74.5454545454545,62.5806451612903,53.3333333333333,"Public","Male"
58.1818181818182,66.6666666666667,81.6666666666667,"Public","Male"
47.2727272727273,50.5882352941176,41.6666666666667,"Public","Female"
50.9090909090909,56.6666666666667,65,"Public","Female"
98.1818181818182,88.75,91.6666666666667,"Public","Male"
80,75.4838709677419,80,"Public","Female"
60,54.375,48.3333333333333,"Public","Female"
76.3636363636364,62.4242424242424,53.3333333333333,"Public","Female"
38.1818181818182,42.8571428571429,40,"Public","Female"
23.6363636363636,33.5483870967742,20,"Public","Female"
80,73.75,80,"Public","Female"
20,41.25,48.3333333333333,"Public","Male"
43.6363636363636,40,38.3333333333333,"Private","Male"
34.5454545454545,36.6666666666667,36.6666666666667,"Public","Male"
63.6363636363636,62.5,70,"Private","Male"
40,46.4516129032258,43.3333333333333,"Public","Female"
60,55.625,55,"Public","Male"
60,57.5,55,"Public","Male"
60,67.741935483871,73.3333333333333,"Public","Female"
80,68.3870967741936,65,"Public","Female"
67.2727272727273,60.6060606060606,53.3333333333333,"Public","Female"
67.2727272727273,60,53.3333333333333,"Public","Female"
20,35.1724137931034,36.6666666666667,"Public","Female"
65.4545454545455,56.875,50,"Public","Female"
27.2727272727273,38.1818181818182,36.6666666666667,"Public","Female"
78.1818181818182,75.4838709677419,81.6666666666667,"Public","Male"
78.1818181818182,77.9310344827586,80,"Public","Female"
81.8181818181818,67.0967741935484,58.3333333333333,"Public","Female"
80,74.375,80,"Private","Male"
74.5454545454545,70.9677419354839,78.3333333333333,"Public","Female"
38.1818181818182,36.969696969697,31.6666666666667,"Private","Male"
58.1818181818182,55,53.3333333333333,"Public","Female"
100,78.7096774193548,78.3333333333333,"Public","Female"
34.5454545454545,40,31.6666666666667,"Public","Female"
58.1818181818182,56.551724137931,60,"Public","Male"
60,58.7878787878788,56.6666666666667,"Public","Female"
80,74.375,78.3333333333333,"Public","Male"
38.1818181818182,50,61.6666666666667,"Public","Male"
60,57.5757575757576,58.3333333333333,"Public","Female"
40,40,31.6666666666667,"Public","Female"
60,62.9411764705882,65,"Public","Female"
40,41.875,36.6666666666667,"Public","Male"
69.0909090909091,65.3333333333333,60,"Public","Female"
72.7272727272727,66.875,65,"Public","Female"
43.6363636363636,49.3333333333333,55,"Public","Female"
60,66.4516129032258,70,"Public","Male"
43.6363636363636,55.8620689655172,66.6666666666667,"Public","Female"
41.8181818181818,51.5151515151515,51.6666666666667,"Public","Male"
67.2727272727273,66.2068965517241,71.6666666666667,"Public","Male"
58.1818181818182,65.3333333333333,76.6666666666667,"Public","Male"
80,75.4838709677419,80,"Public","Female"
58.1818181818182,62.5,70,"Public","Male"
89.0909090909091,78.75,80,"Public","Female"
54.5454545454545,56.1290322580645,56.6666666666667,"Public","Female"
56.3636363636364,58.1818181818182,60,"Public","Female"
80,75.1724137931035,80,"Public","Female"
61.8181818181818,68.125,81.6666666666667,"Public","Male"
60,66.25,75,"Public","Male"
47.2727272727273,45,30,"Public","Female"
98.1818181818182,88.6666666666667,90,"Public","Male"
72.7272727272727,72.6666666666667,76.6666666666667,"Public","Female"
60,63.2258064516129,68.3333333333333,"Public","Female"
76.3636363636364,71.6129032258064,76.6666666666667,"Public","Female"
70.9090909090909,64.375,61.6666666666667,"Public","Female"
60,56.6666666666667,55,"Private","Male"
67.2727272727273,65.3333333333333,76.6666666666667,"Public","Male"
70.9090909090909,71.25,76.6666666666667,"Private","Female"
87.2727272727273,77.3333333333333,86.6666666666667,"Public","Female"
76.3636363636364,66.875,58.3333333333333,"Public","Female"
70.9090909090909,72,76.6666666666667,"Public","Female"
76.3636363636364,61.2903225806452,48.3333333333333,"Public","Male"
61.8181818181818,62.5806451612903,66.6666666666667,"Public","Female"
69.0909090909091,70,80,"Public","Male"
63.6363636363636,62.6666666666667,65,"Public","Female"
83.6363636363636,74.8387096774193,76.6666666666667,"Public","Female"
29.0909090909091,34,31.6666666666667,"Public","Female"
65.4545454545455,58.75,51.6666666666667,"Public","Female"
60,58.1818181818182,60,"Public","Male"
74.5454545454545,68.3870967741936,58.3333333333333,"Public","Female"
20,32.5925925925926,45,"Public","Female"
47.2727272727273,49.0909090909091,45,"Public","Female"
65.4545454545455,67.0967741935484,68.3333333333333,"Public","Female"
20,35.1515151515151,40,"Public","Female"
60,59.3333333333333,58.3333333333333,"Private","Female"
60,56.1290322580645,53.3333333333333,"Public","Female"
69.0909090909091,64.8275862068965,65,"Public","Female"
49.0909090909091,54.1176470588235,53.3333333333333,"Public","Female"
92.7272727272727,76.25,71.6666666666667,"Public","Male"
70.9090909090909,54,41.6666666666667,"Public","Male"
47.2727272727273,55.3333333333333,58.3333333333333,"Public","Male"
52.7272727272727,50.9677419354839,51.6666666666667,"Public","Female"
67.2727272727273,63.75,68.3333333333333,"Public","Male"
83.6363636363636,74.375,76.6666666666667,"Public","Female"
80,71.6129032258064,71.6666666666667,"Public","Male"
56.3636363636364,55,56.6666666666667,"Private","Male"
25.4545454545455,35.1724137931034,36.6666666666667,"Public","Female"
72.7272727272727,68.75,70,"Public","Female"
58.1818181818182,58.75,55,"Public","Female"
23.6363636363636,40,43.3333333333333,"Private","Male"
69.0909090909091,61.2121212121212,50,"Public","Female"
20,36.1290322580645,38.3333333333333,"Public","Male"
67.2727272727273,65.3333333333333,61.6666666666667,"Public","Female"
49.0909090909091,48,51.6666666666667,"Public","Male"
67.2727272727273,64.8484848484848,68.3333333333333,"Public","Male"
61.8181818181818,60.6896551724138,60,"Public","Female"
74.5454545454545,69.6774193548387,73.3333333333333,"Public","Female"
78.1818181818182,84,98.3333333333333,NA,"Female"
47.2727272727273,50,46.6666666666667,"Public","Female"
80,73.5483870967742,80,"Public","Female"
58.1818181818182,53.9393939393939,46.6666666666667,"Private","Female"
56.3636363636364,54.8387096774194,58.3333333333333,"Public","Male"
69.0909090909091,64,60,"Public","Female"
60,59.375,55,"Public","Female"
65.4545454545455,61.875,58.3333333333333,"Public","Female"
80,77.3333333333333,80,"Public","Female"
38.1818181818182,39.3103448275862,36.6666666666667,"Public","Female"
49.0909090909091,50,45,"Public","Female"
70.9090909090909,71.6129032258064,78.3333333333333,"Public","Female"
80,78.7878787878788,100,"Public","Male"
69.0909090909091,66.4516129032258,65,"Public","Female"
69.0909090909091,64.5161290322581,75,"Public","Female"
61.8181818181818,58.75,53.3333333333333,"Public","Male"
41.8181818181818,44.6666666666667,40,"Public","Male"
94.5454545454545,82.5806451612903,80,"Public","Female"
72.7272727272727,74.1935483870968,88.3333333333333,"Private","Male"
89.0909090909091,84.375,93.3333333333333,"Public","Male"
100,83.3333333333333,75,"Private","Female"
69.0909090909091,73.75,83.3333333333333,"Private","Female"
80,67.741935483871,56.6666666666667,"Public","Male"
60,62.5806451612903,60,"Public","Female"
67.2727272727273,64.2424242424242,66.6666666666667,"Public","Female"
78.1818181818182,69.6774193548387,70,"Public","Male"
60,60,63.3333333333333,"Private","Male"
80,70.3030303030303,80,"Public","Female"
72.7272727272727,75,88.3333333333333,"Public","Female"
52.7272727272727,51.25,48.3333333333333,"Public","Female"
