"Rank","University","Students","Average score","Rating","Lowest score","Highest score","What this means"
1,"Fata University",6,73,"Good",51.7,84.7,"Ranked #1 with 6 students. Average 73/100 (Good)."
2,"Superior University Faisalabad",18,72.6,"Good",34.2,93.3,"Ranked #2 with 18 students. Average 72.6/100 (Good)."
3,"University Of The Punjab",5,70.4,"Good",65.6,77.5,"Ranked #3 with 5 students. Average 70.4/100 (Good)."
4,"Bahria University Islamabad (Buic)",7,69.4,"Good",44.4,88.7,"Ranked #4 with 7 students. Average 69.4/100 (Good)."
5,"Government Post Graduate College",5,69.4,"Good",58.7,78.1,"Ranked #5 with 5 students. Average 69.4/100 (Good)."
6,"Abdul Wali Khan University Mardan",5,68.8,"Good",65.2,70.3,"Ranked #6 with 5 students. Average 68.8/100 (Good)."
7,"Gpgc Mansehra",9,68.6,"Good",56.4,75,"Ranked #7 with 9 students. Average 68.6/100 (Good)."
8,"University Of Engineering And Technology Peshawar",7,68,"Good",52,91,"Ranked #8 with 7 students. Average 68/100 (Good)."
9,"Fast Nuces",32,67.8,"Good",30.6,88.3,"Ranked #9 with 32 students. Average 67.8/100 (Good)."
10,"Punjab University",10,65.7,"Good",42.1,88.3,"Ranked #10 with 10 students. Average 65.7/100 (Good)."
11,"University Of Punjab",6,65.7,"Good",58.8,75.3,"Ranked #11 with 6 students. Average 65.7/100 (Good)."
12,"National University Of Sciences And Technology",14,65.5,"Good",38.1,87.7,"Ranked #12 with 14 students. Average 65.5/100 (Good)."
13,"Lahore College For Women University",6,65.1,"Good",56.1,72.9,"Ranked #13 with 6 students. Average 65.1/100 (Good)."
14,"National University Of Pakistan",110,64.9,"Good",31,92,"Ranked #14 with 110 students. Average 64.9/100 (Good)."
15,"University Of Sargodha",16,64.9,"Good",40.6,82.7,"Ranked #15 with 16 students. Average 64.9/100 (Good)."
16,"Bahauddin Zakariya University (Bzu) Multan",59,64,"Good",36.8,84.5,"Ranked #16 with 59 students. Average 64/100 (Good)."
17,"Arid Agriculture University",9,63.5,"Good",41.9,80.6,"Ranked #17 with 9 students. Average 63.5/100 (Good)."
18,"National University / Federal Government Colleges",256,63.5,"Good",27.7,92.7,"Ranked #18 with 256 students. Average 63.5/100 (Good)."
19,"Foundation University",5,63.2,"Good",35.6,76.9,"Ranked #19 with 5 students. Average 63.2/100 (Good)."
20,"Government Post Graduate College Mansehra",18,63,"Good",42.6,77.4,"Ranked #20 with 18 students. Average 63/100 (Good)."
21,"Fatima Jinnah Women University",118,62.5,"Good",26.2,92.9,"Ranked #21 with 118 students. Average 62.5/100 (Good)."
22,"Air University Islamabad",29,62.1,"Good",24.8,89.7,"Ranked #22 with 29 students. Average 62.1/100 (Good)."
23,"Nup",12,61.7,"Good",46.5,80,"Ranked #23 with 12 students. Average 61.7/100 (Good)."
24,"National University Of Modern Languages (Numl)",38,61.5,"Good",36.7,88.8,"Ranked #24 with 38 students. Average 61.5/100 (Good)."
25,"International Islamic University Islamabad",247,61.3,"Good",29.3,91.6,"Ranked #25 with 247 students. Average 61.3/100 (Good)."
26,"Hazara University Mansehra",8,61.2,"Good",38.7,85.2,"Ranked #26 with 8 students. Average 61.2/100 (Good)."
27,"University Of Haripur",19,61.1,"Good",31.9,94.3,"Ranked #27 with 19 students. Average 61.1/100 (Good)."
28,"Allama Iqbal Open University (Aiou)",18,60.6,"Good",37.5,74.4,"Ranked #28 with 18 students. Average 60.6/100 (Good)."
29,"Comsats University",79,60.6,"Good",20,86.7,"Ranked #29 with 79 students. Average 60.6/100 (Good)."
30,"National University Of Pakistan (Nup)",7,60.6,"Good",46.7,76.2,"Ranked #30 with 7 students. Average 60.6/100 (Good)."
31,"Uet Taxila",7,60.4,"Good",41.3,79.4,"Ranked #31 with 7 students. Average 60.4/100 (Good)."
32,"Uet Peshawar",16,59.6,"Needs work",32.9,91.3,"Ranked #32 with 16 students. Average 59.6/100 (Needs work)."
33,"Hazara University",14,59.5,"Needs work",29.7,76,"Ranked #33 with 14 students. Average 59.5/100 (Needs work)."
34,"Quaid E Azam University",160,59.4,"Needs work",26.7,91.6,"Ranked #34 with 160 students. Average 59.4/100 (Needs work)."
35,"Iqra University",5,59,"Needs work",24.5,74.2,"Ranked #35 with 5 students. Average 59/100 (Needs work)."
36,"University Of Gujrat",65,58.6,"Needs work",26.7,92.3,"Ranked #36 with 65 students. Average 58.6/100 (Needs work)."
37,"Szabist Islamabad",7,57.4,"Needs work",40,82.7,"Ranked #37 with 7 students. Average 57.4/100 (Needs work)."
38,"University Of Karachi",24,49.6,"Needs work",26.7,62.5,"Ranked #38 with 24 students. Average 49.6/100 (Needs work)."
