"Rank","Field of study","Students","Average score","Rating","Spread (SD)","What this means"
1,"Health And Physical Education",13,70,"Good",10.7,"Students in Health And Physical Education gave an average of 70/100 (Good)."
2,"Mathematics",16,68.6,"Good",7.3,"Students in Mathematics gave an average of 68.6/100 (Good)."
3,"Bs Economics",16,67.3,"Good",15.3,"Students in Bs Economics gave an average of 67.3/100 (Good)."
4,"Medical & Health (Mbbs, Dpt, Pharmacy, Nursing, Nutrition)",30,66.2,"Good",13.3,"Students in Medical & Health (Mbbs, Dpt, Pharmacy, Nursing, Nutrition) gave an average of 66.2/100 (Good)."
5,"Bs Mathematics",15,65.6,"Good",16.7,"Students in Bs Mathematics gave an average of 65.6/100 (Good)."
6,"Bs English",32,65.4,"Good",12.5,"Students in Bs English gave an average of 65.4/100 (Good)."
7,"Statistics",18,64.3,"Good",11.3,"Students in Statistics gave an average of 64.3/100 (Good)."
8,"Engineering (Civil, Electrical, Chemical, Mechanical, Bio-Medical, Aerospace, Telecommunication)",42,63.7,"Good",14.6,"Students in Engineering (Civil, Electrical, Chemical, Mechanical, Bio-Medical, Aerospace, Telecommunication) gave an average of 63.7/100 (Good)."
9,"Bs Urdu",14,63.4,"Good",16.7,"Students in Bs Urdu gave an average of 63.4/100 (Good)."
10,"Business & Management (Bba, Accounting & Finance, Economics)",299,62.3,"Good",13.6,"Students in Business & Management (Bba, Accounting & Finance, Economics) gave an average of 62.3/100 (Good)."
11,"Islamic Studies",25,62.2,"Good",13.4,"Students in Islamic Studies gave an average of 62.2/100 (Good)."
12,"Economics",19,61.8,"Good",13.6,"Students in Economics gave an average of 61.8/100 (Good)."
13,"Natural Sciences (Physics, Chemistry, Math, Statistics, Biology, Environmental Science)",404,61.6,"Good",12,"Students in Natural Sciences (Physics, Chemistry, Math, Statistics, Biology, Environmental Science) gave an average of 61.6/100 (Good)."
14,"Computer Science & It (Computer Science, Software Engineering, It, Data Science, Data Analytics, Ai, Bioinformatics)",318,61.5,"Good",13.7,"Students in Computer Science & It (Computer Science, Software Engineering, It, Data Science, Data Analytics, Ai, Bioinformatics) gave an average of 61.5/100 (Good)."
15,"Social Sciences (Psychology, Education, English, Mass Comm, Ir, Sociology)",254,61.4,"Good",11.8,"Students in Social Sciences (Psychology, Education, English, Mass Comm, Ir, Sociology) gave an average of 61.4/100 (Good)."
16,"English",12,59.2,"Needs work",16.7,"Students in English gave an average of 59.2/100 (Needs work)."
17,"Psychology",11,59.2,"Needs work",13.6,"Students in Psychology gave an average of 59.2/100 (Needs work)."
18,"Arts, Design & Architecture",15,58.8,"Needs work",12.8,"Students in Arts, Design & Architecture gave an average of 58.8/100 (Needs work)."
